ts_code,symbol,name,area,industry,list_date
000783.SZ,783,长江证券,湖北,证券,19970731
000785.SZ,785,居然智家,湖北,百货,19970711
000786.SZ,786,北新建材,北京,其他建材,19970606
000788.SZ,788,北大医药,重庆,化学制药,19970616
000789.SZ,789,万年青,江西,水泥,19970923
000790.SZ,790,华神科技,四川,中成药,19980327
000791.SZ,791,甘肃能源,甘肃,水力发电,19971014
000792.SZ,792,盐湖股份,青海,农药化肥,19970904
000795.SZ,795,英洛华,浙江,矿物制品,19970808
000796.SZ,796,凯撒旅业,海南,旅游服务,19970703
000797.SZ,797,中国武夷,福建,全国地产,19970715
000798.SZ,798,中水渔业,北京,渔业,19980212
000799.SZ,799,酒鬼酒,湖南,白酒,19970718
000800.SZ,800,一汽解放,吉林,汽车整车,19970618
000801.SZ,801,四川九洲,四川,家用电器,19980506
000802.SZ,802,北京文化,北京,影视音像,19980108
000803.SZ,803,山高环能,四川,环境保护,19980303
000807.SZ,807,云铝股份,云南,铝,19980408
000809.SZ,809,和展能源,辽宁,电气设备,19980616
000810.SZ,810,创维数字,四川,家用电器,19980602
000811.SZ,811,冰轮环境,山东,工程机械,19980528
000812.SZ,812,陕西金叶,陕西,广告包装,19980623
000813.SZ,813,德展健康,新疆,化学制药,19980519
000815.SZ,815,美利云,宁夏,通信设备,19980609
000816.SZ,816,智慧农业,江苏,农用机械,19970818
000818.SZ,818,航锦科技,辽宁,化工原料,19971017
000819.SZ,819,岳阳兴长,湖南,石油加工,19970625
000822.SZ,822,山东海化,山东,化工原料,19980703
000823.SZ,823,超声电子,广东,元器件,19971008
000825.SZ,825,太钢不锈,山西,特种钢,19981021
000828.SZ,828,东莞控股,广东,路桥,19970617
000829.SZ,829,天音控股,江西,其他商业,19971202
000830.SZ,830,鲁西化工,山东,化工原料,19980807
000831.SZ,831,中国稀土,江西,小金属,19980911
000833.SZ,833,粤桂股份,广西,综合类,19981111
000837.SZ,837,秦川机床,陕西,机床制造,19980928
000839.SZ,839,国安股份,北京,综合类,19971031
000848.SZ,848,承德露露,河北,软饮料,19971113
000850.SZ,850,华茂股份,安徽,纺织,19981007
000852.SZ,852,石化机械,湖北,化工机械,19981126
000856.SZ,856,冀东装备,河北,专用机械,19980813
000858.SZ,858,五粮液,四川,白酒,19980427
000859.SZ,859,国风新材,安徽,塑料,19981119
000860.SZ,860,顺鑫农业,北京,白酒,19981104
000862.SZ,862,银星能源,宁夏,新型电力,19980915
000863.SZ,863,三湘印象,上海,区域地产,19970925
000868.SZ,868,安凯客车,安徽,汽车整车,19970725
000869.SZ,869,张裕Ａ,山东,红黄酒,20001026
000875.SZ,875,电投绿能,吉林,火力发电,20020926
000876.SZ,876,新希望,四川,饲料,19980311
000877.SZ,877,天山股份,新疆,水泥,19990107
000878.SZ,878,云南铜业,云南,铜,19980602
000880.SZ,880,潍柴重机,山东,专用机械,19980402
000881.SZ,881,中广核技,辽宁,化工原料,19980902
